item_no,name,desc,category,detail,specification,description,unit,price_1,price_2,price_3,remark
DJ-2022-1,桁架,220*220  方管桁架,桁架,桁架,220*220,方管桁架,米,12,12,12,
DJ-2022-2,桁架,200*200  铝合金桁架,桁架,桁架,200*200,铝合金桁架,米,20, /, /,
DJ-2022-3,桁架,200*200 圆管桁架,桁架,桁架,200*200,圆管桁架,米, /,10,10,
DJ-2022-4,雷亚架,国标铝合金管,雷亚架,雷亚架,,国标铝合金管,米, /, /, /,
DJ-2022-5,TRUSS架,铝合金TRUSS架 760*600mm 600*400mm,TRUSS架,TRUSS架,600*400mm,铝合金TRUSS架,米,45, /, /,
DJ-2022-6,TRUSS架,铝合金TRUSS架 400*400mm,TRUSS架,TRUSS架,400*400mm,铝合金TRUSS架,米,40, /,35,
DJ-2022-7,TRUSS架,铝合金TRUSS架 300*300mm,TRUSS架,TRUSS架,300*300mm,铝合金TRUSS架,米,30, /,30,
DJ-2022-8,喷绘,普通喷绘,喷绘,普通喷绘,,,平方,5, /,5,
DJ-2022-9,喷绘,黑白布,喷绘,黑白布,,,平方,10, /,10,
DJ-2022-10,写真,写真,写真,写真,,,平方,12, /, /,
DJ-2022-11,写真,写真KT板,写真,写真KT板,,,平方,18, /, /,
DJ-2022-12,写真,超卡板裱写真,写真,超卡板裱写真,,,平方,25, /, /,
DJ-2022-13,条幅,旗帜布 幅宽0.6米,条幅,条幅,幅宽0.6米,旗帜布,米,8, /, /,
DJ-2022-14,条幅,旗帜布 幅宽0.9米,条幅,条幅,幅宽0.9米,旗帜布,米,10, /, /,
DJ-2022-15,地毯,普通地毯(一次性地毯，展览地毯),地毯,普通地毯,一次性地毯，展览地毯,,平方,5, /,5,
DJ-2022-16,地毯,中档地毯(一拉绒 圈绒地毯),地毯,中档地毯,拉绒 圈绒地毯,,平方,8, /,8,
DJ-2022-17,舞台,舞台高度0.8m,舞台,钢架舞台 钢木结构舞台,舞台高度0.8m,标准舞台钢架,平方,20, /,20,
DJ-2022-18,舞台,舞台高度1.2m,舞台,钢架舞台 钢木结构舞台,舞台高度1.2m,标准舞台钢架,平方,25, /,25,
DJ-2022-19,舞台,舞台高度1.5m,舞台,钢架舞台 钢木结构舞台,舞台高度1.5m,标准舞台钢架,平方,30, /,30,
DJ-2022-20,葫芦,手拉葫芦,基础物料,葫芦 - 手拉,,,台,0, /, /,
DJ-2022-21,葫芦,电动葫芦,基础物料,葫芦 - 电动,,,台,150, /, /,
DJ-2022-22,线槽,线槽,基础物料,线槽 - 线槽,,,米,5, /,5,
DJ-2022-23,演讲台,木制演讲台 实木1*1.5,基础物料,演讲台 - 木制演讲台（黑色或者棕色）,实木1*1.5,实木,个,150, /, /,
DJ-2022-24,演讲台,水晶讲台 亚克力0.6*1.2,基础物料,演讲台 - 水晶讲台,亚克力0.6*1.2,亚克力,个, /, /, /,
DJ-2022-25,桌椅,会议条桌含桌布 1.2米,基础物料,桌椅 - 会议条桌含桌布,1.2米,桌布（白色普通布 弹力布）,张,20, /,20,
DJ-2022-26,桌椅,玻璃桌,基础物料,桌椅 - 玻璃桌,,,张,30, /, ,
DJ-2022-27,桌椅,会议椅,基础物料,桌椅 - 会议椅,,,把,10, /,10,
DJ-2022-28,桌椅,折叠椅,基础物料,桌椅 - 折叠椅,,,把,10, /,10,
DJ-2022-29,桌椅,吧桌（白色桌套）,基础物料,桌椅 - 吧桌（白色桌套）,,,张, /, /,35,
DJ-2022-30,桌椅,吧凳（白色）,基础物料,桌椅 - 吧凳（白色）,,,个, /, /,25,
DJ-2022-31,桌椅,方凳,基础物料,桌椅 - 方凳,,塑料,个,2, /,1.5,
DJ-2022-32,A字板,A字板（含画面）,基础物料,A字板（含画面）,,,块,80, /, /,
DJ-2022-33,铁马,不锈钢铁马,基础物料,不锈钢铁马,,,米,10, /,10,
DJ-2022-34,警戒线庄,10米 16米 20米及以上,基础物料,警戒线（庄）,10米 16米 20米及以上,,米,15, /, /,
DJ-2022-35,隔离柱,隔离柱,基础物料,隔离柱,,,个,15, /,10,
DJ-2022-36,道旗,5米（含画面）,基础物料,道旗,5米（含画面）,,套,150, /, /,
DJ-2022-37,刀旗,80*240cm，含画面,基础物料,刀旗,80*240cm，含画面,,套, /, /, /,
DJ-2022-38,礼宾柱,钛金 不锈钢 礼宾柱,基础物料,礼宾柱,,钛金 不锈钢,根,15, /, /,
DJ-2022-39,气拱门,气拱门（含风机）,基础物料,气拱门（含风机）,,,个, /, /,300,
DJ-2022-40,气柱,气柱（含风机）,基础物料,气柱（含风机）,,,个, /, /,150,
